Source_Job_Title,NOC_Code,Target_Industry,Industry_NAICS,Employment_Count,Estimated_Median_Annual_Income,Income_Source_URL,Income_Data_Year,Income_Percentile,Income_Level,AI_Readiness_Score,Nodes Metric,AI_Readiness_Components,Job_Postings_Count,Pct_Postings_With_AI_Skills,Typical_Education_Level,Data_Source,Source_URLs,Last_Updated,Notes
Dishwashers,65205,Hospitality,72,89300,28000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,15,Low,0.27,5.562273136,"{""automation_risk"": 0.78, ""digital_skill_share"": 0.12, ""vacancy_ai_growth"": 0.01, ""industry_adoption"": 0.02}",23400,0.5,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Kitchen cleaning
Janitors,65311,Real Estate,53,234500,32000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,20,Low,0.28,5.75847395,"{""automation_risk"": 0.75, ""digital_skill_share"": 0.15, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.18}",45600,0.8,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Manual labor
Kitchen helpers,65204,Hospitality,72,189300,30000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,18,Low,0.28,5.75847395,"{""automation_risk"": 0.78, ""digital_skill_share"": 0.12, ""vacancy_ai_growth"": 0.01, ""industry_adoption"": 0.02}",45600,0.5,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Kitchen support
Agricultural workers,85100,Agriculture,11,234500,32000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,20,Low,0.29,5.965771773,"{""automation_risk"": 0.75, ""digital_skill_share"": 0.15, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.02}",45600,0.5,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Seasonal work
Room attendants,65310,Hospitality,72,67800,32000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,20,Low,0.29,5.965771773,"{""automation_risk"": 0.75, ""digital_skill_share"": 0.15, ""vacancy_ai_growth"": 0.01, ""industry_adoption"": 0.02}",12300,0.5,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Housekeeping
Taxi drivers,73200,Transportation,48,67800,35000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,28,Low,0.3,6.184949249,"{""automation_risk"": 0.75, ""digital_skill_share"": 0.15, ""vacancy_ai_growth"": 0.01, ""industry_adoption"": 0.02}",23400,0.8,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Rideshare impact
Landscapers,82031,Real Estate,53,67800,38000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,32,Medium,0.3,6.184949249,"{""automation_risk"": 0.75, ""digital_skill_share"": 0.18, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.18}",23400,0.8,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Grounds maintenance
Laundry workers,94141,Hospitality,72,45600,32000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,20,Low,0.3,6.184949249,"{""automation_risk"": 0.75, ""digital_skill_share"": 0.15, ""vacancy_ai_growth"": 0.01, ""industry_adoption"": 0.02}",8900,0.5,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Laundry services
Food counter attendants,65203,Hospitality,72,145600,28000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,15,Low,0.3,6.184949249,"{""automation_risk"": 0.75, ""digital_skill_share"": 0.15, ""vacancy_ai_growth"": 0.01, ""industry_adoption"": 0.02}",34500,0.5,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Fast food
Food service supervisors,62020,Hospitality,72,89200,38000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,32,Medium,0.31,6.416854484,"{""automation_risk"": 0.72, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.02}",15600,1.2,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Service sector occupation
