Points,Groups,Employment count
Agriculture,A,370600
Farmers,A,89300
Agricultural workers,A,234500
Forestry workers,A,34500
Fishing vessel operators,A,12300
Arts/ Entertainment,B,406600
Musicians,B,18900
Actors,B,8900
Fitness instructors,B,34500
Sound engineers,B,12300
Film directors,B,5600
Producers,B,8900
Event planners,B,34500
Tour guides,B,23400
Recreation coordinators,B,45600
Coaches,B,34500
Athletes,B,8900
Casino workers,B,45600
Curators,B,5600
Recreation attendants,B,23400
Lifeguards,B,34500
Ski instructors,B,5600
Golf instructors,B,3400
Tennis instructors,B,2300
Yoga instructors,B,12300
Dance instructors,B,8900
Martial arts instructors,B,5600
Personal trainers,B,23400
Construction,C,1220200
Construction trades helpers,C,125600
Electricians,C,98400
Civil engineers,C,67200
Plumbers,C,87900
Carpenters,C,124500
Building inspectors,C,34500
Crane operators,C,45600
Heavy equipment operators,C,89300
Roofers,C,67800
Drywall installers,C,56700
Painters and decorators,C,78900
Floor installers,C,45600
Glaziers,C,34500
Insulation workers,C,23400
Concrete finishers,C,56700
Bricklayers,C,45600
Tile setters,C,34500
Plasterers,C,23400
HVAC technicians,C,67800
Elevator technicians,C,12300
Education,D,957800
Elementary school teachers,D,185200
Secondary school teachers,D,167800
Early childhood educators,D,89300
Librarians,D,12300
Research assistants,D,67800
University professors,D,45600
College instructors,D,34500
Teaching assistants,D,89300
Tutors,D,34500
Educational counselors,D,23400
School principals,D,12300
Childcare workers,D,145600
School counselors,D,23400
Career counselors,D,12300
Academic advisors,D,8900
Admissions counselors,D,5600
Financial Services,E,696700
Data scientists,E,42300
Financial managers,E,112400
Customer service representatives,E,178900
Database analysts,E,48900
Insurance agents,E,67800
Bank tellers,E,89300
Actuaries,E,5600
Mortgage brokers,E,34500
Investment advisors,E,23400
Financial planners,E,45600
Credit counselors,E,12300
Compliance officers,E,23400
Risk managers,E,12300
Government,F,538500
Human resources managers,F,45600
Administrative assistants,F,234500
Police officers,F,78900
Court reporters,F,5600
Probation officers,F,12300
Firefighters,F,34500
Urban planners,F,8900
Archivists,F,3400
Conservation scientists,F,8900
Meteorologists,F,3400
Economists,F,8900
Policy analysts,F,23400
Procurement officers,F,34500
Labor relations officers,F,8900
Health and safety inspectors,F,12300
Public health inspectors,F,8900
Environmental health officers,F,5600
Healthcare,G,1890100
Registered nurses,G,298500
Pharmacists,G,42300
Social workers,G,68900
Dental hygienists,G,34500
Physiotherapists,G,45600
Paramedics,G,34500
Veterinarians,G,12300
Dental assistants,G,56700
Medical laboratory technologists,G,45600
Opticians,G,23400
Dietitians,G,12300
Psychologists,G,8900
Biomedical engineers,G,3400
Veterinary technicians,G,34500
Biologists,G,12300
Occupational therapists,G,34500
Speech therapists,G,12300
Audiologists,G,3400
Respiratory therapists,G,23400
Medical radiation technologists,G,34500
Midwives,G,8900
Nurse practitioners,G,12300
